Account,First Name,Last Name,Job Title,Mobile,Email,CreatedOn
1035,"Zoya","Zoya","Maheen","CEO","12121212","zoyamaheen@gmail.com","2023-10-23T16:05:54.38"
1034,"Company Name","Test 1","Test 1","Manager","234234","test1@gmail.com","2023-10-23T15:58:52.547"
1033,"Test TT","Chand","Basha","Lawyer","121212","testtest1@gmail.com","2023-10-23T15:48:16.737"
1032,"One One Company","One","One","","","oneone@gmail.com","2023-10-20T18:30:26.25"
1031,"Zeba","Zeba","Af","MD","+91232233","zebasf@gmail.com","2023-09-21T22:36:19.333"
1030,"Rajesh Company","Rajesh","Kumar","CEO","","rajeshkumar@gmail.com","2023-09-21T22:32:10.457"
1029,"Rajpat Lal","Rajpat","Lal","CEO","123435","rajpatlal@gmail.com","2023-09-21T22:22:15.043"
1028,"Rajpat Lal","Rajpat","Sindhu","CEO","123435","rajpatlal@gmail.com","2023-09-21T22:18:47.38"
1027,"Company V 2","Alex","Anderson","Director","+910987654321","alexanderson@gmail.com","2023-09-21T17:22:38.21"
1026,"Account 1","Contact","Two","","","","2023-09-19T18:45:52.467"
1025,"Account 1","Contact","One","","","","2023-09-19T18:36:40.027"
1024,"K3i Solutions","Farzan","Azam Khan","CEO","1212","farzan999@gmail.com","2023-09-15T12:29:53.857"
1023,"TT","TT","TT","COO","","tt@gmail.com","2023-09-15T12:29:10.38"
1022,"Testing Company V1","Test","Lead","Project Manager","97987987","testlead@gmail.com","2023-09-14T18:13:44.83"
1021,"Testing Company V1","Testing","Topic V1","","","testingtopicv1@gmail.com","2023-09-14T18:13:20.47"
1020,"Testing Company V2","Testing","Topic V2","Director","2","testingtopicv2@gmail.com","2023-09-14T16:10:10.373"
21,"Testing Company V1","Basith","Basha","","","basbasha@gmail.com","2023-09-13T18:23:25.5"
19,"STC","Stc","User","08098","098098","Stcu@gmail.com","2023-08-30T19:08:22.607"
18,"Basha","Anwar","Basha K","Managing Director","1234","anwarbashak@gmail.com","2023-08-28T21:44:34.52"
17,"Basha","Anwar","Pasha","MD","1234","anwarpasha@gmail.com","2023-08-28T21:39:30.437"
16,"Testing Company V1","Test 22","Test 22","CTO","234222","test22@gmail.com","2023-08-28T18:30:33.347"
15,"Testing Company V1","Test 111","Test 111","CEO","1212121","1","2023-08-28T16:37:42.497"
14,"Info","Husna","Banu","CEO","3432432","husnabanu@gmail.com","2023-08-24T18:54:45.583"
13,"Testing Company V1","Basha","Khan","CEO","232323","1","2023-08-24T18:54:13.173"
12,"Company Name","Test 2","Test 2","Manager","234234","1","2023-08-24T18:52:14.283"
11,"Sparsh Communicaitons ","Test","A","Project's Lead","234234","testa@gmail.com","2023-08-24T18:48:46.743"
10,"STC","Mohammed","Asif Iqbal","Project Manager","22222","1","2023-08-24T18:48:31.373"
9,"test","Test Entry","Form","CEO","2323224","1","2023-08-24T18:47:57.163"
8,"Sparsh Communicaitons ","Test","b","Project's Lead","234234","testb@gmail.com","2023-08-24T18:47:28.333"
7,"Sparsh Communicaitons ","Test","c","Project's Lead","234234","1","2023-08-24T18:46:30.78"
6,"Testing Company V1","Test","d","Project's Lead","234234","1","2023-08-24T18:45:00.477"
5,"Info","Test","ee","Project's Lead","234234","test22@gmail.com","2023-08-24T18:44:18.677"
4,"Sparsh Communicaitons ","Test","fff","Project's Lead","234234","1","2023-08-24T18:37:55.637"
3,"Sparsh Communicaitons ","Test","g","Project's Lead","234234","1","2023-08-24T18:33:25.643"
2,"Testing Company V1","Test","18","CEO 18","23432","1","2023-08-24T18:12:10.163"
1,"Testing Company V1","Test","19","CEO 19","97987","1","2023-08-24T17:58:17.37"
